Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,No,3+,Graduate,No,9735,0,9,360,0.0,Semiurban,N
LP000002,Female,No,0,Graduate,No,1297,0,9,360,1.0,Semiurban,Y
LP000003,Male,Yes,2,Not Graduate,No,4037,1363,9,360,1.0,Rural,N
LP000004,Male,Yes,0,Graduate,No,7284,435,9,360,1.0,Semiurban,Y
LP000005,Male,No,0,Graduate,No,11647,0,9,360,1.0,Urban,Y
LP000006,Male,No,0,Graduate,No,2338,0,9,360,,Urban,N
LP000007,,Yes,1,Not Graduate,No,4003,1257,9,480,,Rural,N
LP000008,Female,Yes,0,Graduate,No,4195,842,9,360,1.0,Semiurban,Y
LP000009,Male,Yes,2,Graduate,No,3351,911,9,360,1.0,Rural,Y
LP000010,Male,Yes,0,Not Graduate,No,2809,2337,9,180,,Urban,Y
LP000011,Male,Yes,3+,Not Graduate,No,3872,885,9,360,0.0,Urban,N
LP000012,Female,Yes,0,Not Graduate,Yes,652,1248,9,360,,Urban,Y
LP000013,Female,Yes,2,Not Graduate,No,4488,7600,9,360,1.0,Rural,Y
LP000014,Male,No,2,Graduate,No,3215,0,9,360,1.0,Semiurban,Y
LP000015,Male,,2,Graduate,No,2608,304,9,480,0.0,Rural,N
LP000016,Male,Yes,2,Graduate,No,10179,2507,9,360,1.0,Urban,Y
LP000017,Male,No,2,Not Graduate,,1988,0,9,360,1.0,Semiurban,Y
LP000018,Male,No,1,Graduate,No,2340,0,9,360,1.0,Semiurban,Y
LP000019,Male,Yes,0,Graduate,No,9847,716,9,360,1.0,Urban,Y
LP000020,Male,Yes,0,Graduate,No,1809,1088,9,180,1.0,Rural,Y
LP000021,Male,Yes,3+,Graduate,Yes,2142,4811,9,360,1.0,Rural,Y
LP000022,Male,Yes,1,Graduate,No,2729,2544,9,360,,Rural,Y
LP000023,Male,Yes,2,Not Graduate,Yes,4936,2669,9,360,1.0,Semiurban,Y
LP000024,Male,Yes,0,Not Graduate,No,3376,431,9,360,0.0,Urban,N
LP000025,Male,,0,Graduate,No,1372,533,9,360,1.0,Urban,Y
LP000026,Male,Yes,0,Graduate,No,2166,138,9,300,1.0,Rural,N
LP000027,Male,Yes,1,Graduate,No,2070,700,9,180,,Urban,N
LP000028,Male,Yes,0,Graduate,,2845,2879,9,240,1.0,Semiurban,Y
LP000029,Male,Yes,0,Not Graduate,No,3848,2025,9,,1.0,Semiurban,Y
LP000030,Male,Yes,0,Graduate,No,3831,1121,9,360,1.0,Semiurban,Y
LP000031,Male,Yes,0,Graduate,No,1026,1315,9,360,1.0,Rural,Y
LP000032,Male,No,1,Not Graduate,No,5644,0,9,180,0.0,Urban,Y
